,0,1,2,3
0,0.0128,0.0256,0.0004,-0.001
1,0.0256,0.2079,-0.0061,-0.0012
2,0.0004,-0.0061,0.0047,0.0018
3,-0.001,-0.0012,0.0018,0.0094
