,0,1,2,3
0,0.0189,0.0107,0.001,-0.0006
1,0.0107,0.2706,-0.0071,-0.0035
2,0.001,-0.0071,0.0111,0.0053
3,-0.0006,-0.0035,0.0053,0.0165
