,0,1,2,3
0, 0.6438, 0.3983, 0.4923, 0.7156
1, 0.6216, 0.6101, 0.8178, 0.5378
2, 0.5950, 0.5422, 0.9650, 0.6358
3, 0.7309, 0.7477, 0.6010, 0.6793
4, 0.7678, 0.6660, 0.9020, 0.9221
5, 1.0993, 0.4712, 0.6616, 0.8624
6, 0.7038, 0.7535, 0.7738, 0.7266
7, 0.7537, 0.3964, 0.9311, 0.9940
8, 1.2410, 0.4875, 0.9222, 0.8812
9, 0.6798, 0.4270, 0.9578, 0.9839
10, 0.5761, 0.6196, 0.9588, 0.8622
11, 0.6944, 0.5176, 0.5671, 0.8078
