1;1;[0.0024495190055619782, 0.6851909249291329];0.7370443033572018
2;4;[-0.027274816231885202, 0.8359880998526288, -0.34114823071670797, -0.02618834221935931, 0.3046953449719965];0.7045425068165727
3;1;[-0.02778681366052156, 0.8140652529695207];0.6343595180902398
4;1;[-0.012430976514686349, 0.7516154844840784];0.608935873813584
5;1;[-0.02542145114800225, 0.7674291329445999];0.49224324505946576
6;10;[0.04078472152681552, 0.8711150242915129, -0.0746520239742047, 0.010906484945681342, 0.09746014306052617, 0.11208258330856874, -0.08664166216570145, 0.19546187897109624, -0.10008190726017026, -0.27552213016744215, 0.34310811981158995];0.297515302677102
7;3;[0.021220692673925606, 1.2669787870958011, -0.5903839266705214, 0.26766340929538646];0.2863670268147883
8;4;[0.05750886908161176, 1.208489242439288, -0.5538871767136611, 0.15019057249548282, 0.1621266135982516];0.22780370404715733
9;5;[-0.0034725912141843115, 1.483383339855866, -1.0820250200763792, 0.2961965767257805, -0.11555748949059584, 0.35691091670331876];0.42304391743669206
10;1;[0.0013559643951186512, 0.8075380655094031];0.639349123038484
11;1;[0.0013204298543456274, 0.7093918649335459];0.7255383601367504
12;1;[-0.006377881069623748, 0.7074012472678952];0.7517925195211007
