||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_linearized.jl
DATETIME
2025-04-04T05:17:37.434
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.Simulation(SDDP.InSampleMonteCarlo(0, false, true, SDDP.var"#155#158"{SDDP.var"#156#159"}(SDDP.var"#156#159"(), Core.Box(0)), nothing), 2000, 11111), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Final Run (2h) - NoCS/Run_fitted_model_55555/LinearizedSDDP.log", false, false, false, 55555, "", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 120
  state variables : 8
  scenarios       : 1.00000e+238
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [170, 174]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.EqualTo{Float64}     : [1, 1]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [157, 157]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [148, 149]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
        74   4.916257e+08  1.086599e+08  1.908580e+02    889554   1
        75   1.786436e+08  1.086679e+08  1.937330e+02    901575   1
        76   4.543854e+08  1.087520e+08  1.966730e+02    913596   1
        77   3.377853e+08  1.090181e+08  1.996430e+02    925617   1
        78   3.647226e+08  1.102721e+08  2.025960e+02    937638   1
        79   2.319526e+08  1.103702e+08  2.055340e+02    949659   1
        80   2.997612e+08  1.104000e+08  2.085030e+02    961680   1
        81   1.974387e+08  1.114565e+08  2.114110e+02    973701   1
        82   2.664309e+08  1.126698e+08  2.143030e+02    985722   1
        83   1.356559e+08  1.127192e+08  2.172410e+02    997743   1
        84   3.871125e+08  1.129159e+08  2.201790e+02   1009764   1
        85   5.601762e+08  1.138969e+08  2.231470e+02   1021785   1
        86   2.968122e+08  1.140543e+08  2.261330e+02   1033806   1
        87   4.674743e+08  1.141953e+08  2.291810e+02   1045827   1
        88   1.088421e+08  1.142494e+08  2.322120e+02   1057848   1
        89   1.904441e+08  1.142811e+08  2.352130e+02   1069869   1
        90   2.244617e+08  1.146283e+08  2.382750e+02   1081890   1
        91   2.233050e+08  1.146882e+08  2.413070e+02   1093911   1
        92   2.492913e+08  1.147851e+08  2.444170e+02   1105932   1
        93   3.081547e+08  1.148487e+08  2.475260e+02   1117953   1
        94   4.303609e+08  1.150368e+08  2.506050e+02   1129974   1
        95   3.016396e+08  1.151573e+08  2.537450e+02   1141995   1
        96   1.856335e+08  1.153336e+08  2.568410e+02   1154016   1
        97   5.389615e+08  1.155885e+08  2.599200e+02   1166037   1
        98   2.593844e+08  1.156969e+08  2.631080e+02   1178058   1
