||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-30T21:20:22.153
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run - NoCS (2h)/Run_MC-SDDP_lattice_55555/MC-SDDP.log", false, false, false, 55555, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
        77   2.362634e+08  1.531008e+08  7.646900e+02    803215   1
        78   1.889527e+08  1.536857e+08  7.874620e+02    813593   1
        79   4.635951e+08  1.541486e+08  8.095000e+02    824038   1
        80   2.518854e+08  1.547333e+08  8.313630e+02    834483   1
        81   2.151689e+08  1.550707e+08  8.536470e+02    844947   1
        82   2.483687e+08  1.550930e+08  8.755670e+02    855596   1
        83   2.880317e+08  1.553797e+08  8.967370e+02    865983   1
        84   4.799302e+08  1.565990e+08  9.196490e+02    876316   1
        85   2.046407e+08  1.597664e+08  9.444790e+02    886927   1
        86   4.304777e+08  1.605158e+08  9.690000e+02    897489   1
        87   1.865512e+08  1.616276e+08  9.932620e+02    907839   1
        88   2.093720e+08  1.619123e+08  1.017166e+03    918388   1
        89   4.139746e+08  1.620579e+08  1.041683e+03    928934   1
        90   2.028232e+08  1.625353e+08  1.064861e+03    939374   1
        91   2.774247e+08  1.629876e+08  1.087906e+03    949745   1
        92   3.768699e+08  1.640242e+08  1.111942e+03    960194   1
        93   5.355861e+08  1.640542e+08  1.136805e+03    970664   1
        94   1.866140e+08  1.645058e+08  1.162488e+03    981227   1
        95   5.247875e+08  1.653343e+08  1.188553e+03    991451   1
        96   3.815765e+08  1.660206e+08  1.217020e+03   1001908   1
        97   6.039471e+08  1.680813e+08  1.246682e+03   1012498   1
        98   5.077586e+08  1.680912e+08  1.277192e+03   1022974   1
        99   1.903945e+08  1.687739e+08  1.308640e+03   1033529   1
       100   8.419997e+08  1.708644e+08  1.339901e+03   1043739   1
       101   2.416545e+08  1.727055e+08  1.373893e+03   1054266   1
       102   2.863069e+08  1.747396e+08  1.407320e+03   1064552   1
       103   2.003708e+08  1.764265e+08  1.440949e+03   1074981   1
       104   1.024290e+09  1.775190e+08  1.473788e+03   1084943   1
       105   2.182005e+08  1.775310e+08  1.508577e+03   1095486   1
       106   2.770498e+08  1.780105e+08  1.544429e+03   1106212   1
       107   4.060744e+08  1.783523e+08  1.579293e+03   1116626   1
       108   5.139891e+08  1.784912e+08  1.615611e+03   1127107   1
       109   2.895884e+08  1.790317e+08  1.652827e+03   1137843   1
       110   4.135059e+08  1.790669e+08  1.687294e+03   1148010   1
       111   6.578146e+08  1.791038e+08  1.722118e+03   1158509   1
       112   6.841896e+08  1.791322e+08  1.756130e+03   1168882   1
       113   2.760967e+08  1.795727e+08  1.791348e+03   1179416   1
       114   3.857446e+08  1.797791e+08  1.826266e+03   1190086   1
       115   2.645782e+08  1.806014e+08  1.859891e+03   1200535   1
       116   2.136046e+08  1.808093e+08  1.895204e+03   1211191   1
       117   2.212905e+08  1.814400e+08  1.930872e+03   1221908   1
       118   5.174012e+08  1.816605e+08  1.966042e+03   1232586   1
       119   5.002881e+08  1.818082e+08  2.000717e+03   1243078   1
       120   2.820480e+08  1.819232e+08  2.035949e+03   1253722   1
       121   2.747846e+08  1.819667e+08  2.070646e+03   1264455   1
       122   3.508266e+08  1.819804e+08  2.103174e+03   1274782   1
       123   2.603519e+08  1.821744e+08  2.137097e+03   1285624   1
       124   1.527441e+08  1.826910e+08  2.169746e+03   1295992   1
       125   3.005365e+08  1.830055e+08  2.200946e+03   1306212   1
       126   3.571505e+08  1.834953e+08  2.233570e+03   1316670   1
       127   2.679045e+08  1.844577e+08  2.267350e+03   1327113   1
       128   3.234035e+08  1.845429e+08  2.300706e+03   1337279   1
       129   5.101276e+08  1.855496e+08  2.332901e+03   1347918   1
       130   3.611981e+08  1.859167e+08  2.365540e+03   1358350   1
       131   1.883737e+08  1.859171e+08  2.397432e+03   1369018   1
       132   2.194647e+08  1.859582e+08  2.428972e+03   1379596   1
       133   2.348051e+08  1.860050e+08  2.459729e+03   1389880   1
       134   3.882300e+08  1.863863e+08  2.489365e+03   1399754   1
       135   2.488244e+08  1.873846e+08  2.520285e+03   1410100   1
       136   3.872854e+08  1.877866e+08  2.552201e+03   1420487   1
       137   2.598293e+08  1.877991e+08  2.583282e+03   1430798   1
       138   2.155782e+08  1.878626e+08  2.616287e+03   1441559   1
       139   2.835911e+08  1.879004e+08  2.648061e+03   1452098   1
       140   3.967773e+08  1.882900e+08  2.679087e+03   1462361   1
       141   9.004134e+08  1.883697e+08  2.710858e+03   1472682   1
       142   4.124274e+08  1.883751e+08  2.743316e+03   1483098   1
       143   4.347784e+08  1.897566e+08  2.774870e+03   1493525   1
       144   2.069773e+08  1.899397e+08  2.807383e+03   1504155   1
       145   2.681206e+08  1.903112e+08  2.838980e+03   1514524   1
       146   4.227010e+08  1.903226e+08  2.871442e+03   1525086   1
       147   4.779357e+08  1.903599e+08  2.904398e+03   1535453   1
       148   3.251568e+08  1.920432e+08  2.935835e+03   1545873   1
       149   3.299479e+08  1.925531e+08  2.968670e+03   1556503   1
       150   3.176342e+08  1.937502e+08  3.001094e+03   1566876   1
       151   5.112604e+08  1.943366e+08  3.033019e+03   1577212   1
       152   8.057240e+08  1.944181e+08  3.064958e+03   1587464   1
       153   8.271555e+08  1.944985e+08  3.096067e+03   1597515   1
       154   2.630172e+08  1.951302e+08  3.129608e+03   1608106   1
       155   1.975430e+08  1.953097e+08  3.163363e+03   1618727   1
       156   1.972597e+08  1.953353e+08  3.196504e+03   1629163   1
       157   3.229686e+08  1.956332e+08  3.229549e+03   1639505   1
       158   3.791699e+08  1.958579e+08  3.263121e+03   1649856   1
       159   2.725598e+08  1.961382e+08  3.296675e+03   1660603   1
       160   2.316416e+08  1.962052e+08  3.329146e+03   1670955   1
       161   2.305849e+08  1.962210e+08  3.361190e+03   1681176   1
       162   1.967547e+08  1.971028e+08  3.394164e+03   1691627   1
       163   3.655608e+08  1.976783e+08  3.427814e+03   1702138   1
