(1,86070.29)
(2,107989.04)
(3,128288.12)
(4,135439.51)
(5,131497.21)
(6,121980.01)
(7,108706.76)
(8,92346.58)
(9,76891.9)
(10,64605.92)
(11,57264.22)
(12,64763.5)
(13,85713.82)
(14,110436.25)
(15,131162.5)
(16,138686.1)
(17,136219.74)
(18,129111.1)
(19,117392.39)
(20,100843.11)
(21,85459.42)
(22,72718.52)
(23,64690.69)
(24,70074.42)
(25,90928.02)
(26,113958.55)
(27,131955.56)
(28,137972.58)
(29,135480.58)
(30,128348.0)
(31,116225.69)
(32,100214.88)
(33,84645.88)
(34,71742.29)
(35,65036.56)
(36,74575.87)
(37,97137.69)
(38,121392.06)
(39,140040.99)
(40,147060.37)
(41,144544.72)
(42,137209.03)
(43,124873.62)
(44,108373.89)
(45,92678.33)
(46,80835.94)
(47,73182.08)
(48,80085.79)
(49,102891.46)
(50,127870.58)
(51,146043.31)
(52,151667.43)
(53,148450.23)
(54,140843.45)
(55,128845.09)
(56,112401.54)
(57,97025.72)
(58,83917.62)
(59,75919.26)
(60,82273.92)
(61,104482.31)
(62,127409.55)
(63,145046.34)
(64,150553.22)
(65,147585.14)
(66,139466.97)
(67,126598.65)
(68,110096.55)
(69,93829.84)
(70,81563.12)
(71,74095.04)
(72,82389.1)
(73,103882.28)
(74,127270.0)
(75,144908.04)
(76,150826.67)
(77,148419.03)
(78,140641.55)
(79,128439.7)
(80,111143.56)
(81,94911.41)
(82,81236.85)
(83,73158.44)
(84,82067.0)
(85,105317.43)
(86,127885.32)
(87,144973.09)
(88,151615.35)
(89,149092.35)
(90,142442.7)
(91,130121.42)
(92,113204.32)
(93,96964.27)
(94,84576.85)
(95,76757.98)
(96,82056.56)
(97,100726.17)
(98,122012.62)
(99,139119.59)
(100,144475.6)
(101,140723.33)
(102,131783.31)
(103,118298.52)
(104,99674.46)
(105,82066.82)
(106,68552.9)
(107,60936.64)
(108,68865.74)
(109,91777.78)
(110,111206.13)
(111,127714.32)
(112,130888.01)
(113,123898.47)
(114,112475.61)
(115,96048.95)
(116,74850.79)
(117,54386.52)
(118,35712.24)
(119,15737.64)
(120,14645.0)
###################
(1,86070.29)
(2,89684.62)
(3,94066.38)
(4,91659.66)
(5,80668.06)
(6,64935.13)
(7,48719.48)
(8,32183.96)
(9,16528.4)
(10,6025.49)
(11,0.0)
(12,3936.33)
(13,17052.59)
(14,35052.34)
(15,50119.78)
(16,53310.8)
(17,49983.75)
(18,42486.61)
(19,33322.12)
(20,20593.64)
(21,6955.03)
(22,0.0)
(23,0.0)
(24,0.0)
(25,16775.16)
(26,35464.13)
(27,49135.27)
(28,52837.85)
(29,49537.55)
(30,43866.4)
