(1,3156.01)
(2,4943.84)
(3,8402.16)
(4,11591.19)
(5,12350.49)
(6,12285.88)
(7,11416.39)
(8,9262.31)
(9,6428.84)
(10,3386.49)
(11,1163.5)
(12,627.14)
(13,2349.89)
(14,5127.92)
(15,8016.85)
(16,10973.33)
(17,12196.09)
(18,12061.67)
(19,10862.18)
(20,8887.12)
(21,5841.95)
(22,2683.96)
(23,571.23)
(24,351.24)
(25,2115.83)
(26,5037.19)
(27,7267.88)
(28,11138.01)
(29,12110.13)
(30,11961.64)
(31,10969.42)
(32,8671.11)
(33,5912.96)
(34,2865.17)
(35,756.91)
(36,553.86)
(37,2299.65)
(38,4959.89)
(39,7686.96)
(40,10952.65)
(41,12180.51)
(42,12102.06)
(43,11123.51)
(44,8960.26)
(45,5832.39)
(46,2762.04)
(47,543.34)
(48,524.26)
(49,2523.02)
(50,4994.65)
(51,8132.92)
(52,11445.14)
(53,12403.7)
(54,12250.19)
(55,11250.17)
(56,9131.41)
(57,6178.73)
(58,3231.11)
(59,819.28)
(60,420.8)
(61,2280.61)
(62,5296.14)
(63,7700.81)
(64,11452.26)
(65,12440.21)
(66,12320.58)
(67,11392.58)
(68,9308.24)
(69,6562.16)
(70,3448.78)
(71,928.4)
(72,477.09)
(73,2765.47)
(74,5342.23)
(75,7812.24)
(76,11245.75)
(77,12303.18)
(78,12150.27)
(79,11092.01)
(80,8975.54)
(81,6116.28)
(82,3053.1)
(83,682.59)
(84,420.94)
(85,2154.11)
(86,4391.84)
(87,7484.66)
(88,10943.61)
(89,12142.93)
(90,12024.22)
(91,10991.93)
(92,8869.82)
(93,6145.97)
(94,3041.36)
(95,861.73)
(96,380.26)
(97,2318.46)
(98,4826.39)
(99,7713.57)
(100,11314.12)
(101,12369.67)
(102,12288.13)
(103,11375.08)
(104,9320.35)
(105,6381.48)
(106,3200.57)
(107,812.29)
(108,403.29)
(109,2323.85)
(110,4685.6)
(111,7717.58)
(112,11446.19)
(113,12463.18)
(114,12322.1)
(115,11320.01)
(116,9335.36)
(117,6663.12)
(118,3779.36)
(119,1152.54)
(120,602.73)
###################
(1,3156.01)
(2,445.45)
(3,3290.46)
(4,7429.25)
(5,9966.99)
(6,9794.61)
(7,8412.97)
(8,5662.32)
(9,2516.46)
(10,269.25)
(11,0.0)
(12,0.0)
(13,0.0)
(14,0.0)
(15,0.0)
(16,5189.2)
(17,8536.09)
(18,8081.78)
(19,6277.28)
(20,3917.22)
(21,1875.1)
(22,118.31)
(23,0.0)
(24,0.0)
(25,0.0)
