(1,21113.17)
(2,30628.72)
(3,37453.32)
(4,39222.06)
(5,37843.9)
(6,34247.04)
(7,29606.57)
(8,24621.6)
(9,19492.74)
(10,15130.44)
(11,13199.9)
(12,14562.81)
(13,19956.36)
(14,25965.77)
(15,32665.07)
(16,34811.56)
(17,34102.17)
(18,31089.37)
(19,27083.66)
(20,22648.33)
(21,18067.7)
(22,13488.75)
(23,11090.41)
(24,12623.71)
(25,18921.83)
(26,25637.57)
(27,31012.66)
(28,34019.12)
(29,33588.8)
(30,30384.3)
(31,26276.9)
(32,21856.9)
(33,16989.12)
(34,12563.36)
(35,10147.12)
(36,11938.99)
(37,18925.82)
(38,26555.27)
(39,32528.85)
(40,35732.97)
(41,35004.68)
(42,31962.36)
(43,27726.05)
(44,22780.48)
(45,17605.23)
(46,12974.46)
(47,10954.69)
(48,13268.08)
(49,18735.78)
(50,24853.18)
(51,30583.17)
(52,33247.69)
(53,32120.27)
(54,28759.66)
(55,24507.68)
(56,19929.01)
(57,15495.45)
(58,11536.49)
(59,9863.66)
(60,12665.37)
(61,19343.12)
(62,26291.22)
(63,31969.16)
(64,35065.26)
(65,34781.78)
(66,31593.76)
(67,27418.59)
(68,22869.77)
(69,18081.95)
(70,13542.54)
(71,11480.61)
(72,13802.75)
(73,20291.85)
(74,26637.28)
(75,32107.2)
(76,35685.9)
(77,35728.13)
(78,32791.52)
(79,28850.36)
(80,24290.42)
(81,19413.89)
(82,14691.69)
(83,12385.39)
(84,15217.24)
(85,21560.26)
(86,28142.08)
(87,34289.69)
(88,37139.27)
(89,36441.13)
(90,33110.18)
(91,28790.87)
(92,23816.06)
(93,18794.44)
(94,13818.23)
(95,11199.05)
(96,12656.96)
(97,18239.35)
(98,25286.65)
(99,31529.31)
(100,34780.1)
(101,34171.39)
(102,30963.8)
(103,26540.66)
(104,21540.05)
(105,16429.75)
(106,11890.75)
(107,9517.45)
(108,11619.3)
(109,18011.76)
(110,25009.36)
(111,32342.21)
(112,35598.82)
(113,35447.98)
(114,32437.22)
(115,28141.9)
(116,23103.02)
(117,17550.09)
(118,11934.18)
(119,7709.32)
(120,8147.15)
###################
(1,21113.17)
(2,22134.58)
(3,21642.23)
(4,20668.94)
(5,16559.13)
