(1,18297.7,56227.3,0.0,0.0,8950.79,0.0)
(2,17534.85,58256.15,0.0,0.0,8604.13,125.34)
(3,17454.97,58917.03,0.0,0.0,8778.15,4614.9)
(4,17340.06,57685.3,26.64,30445.07,8739.51,5063.5)
(5,17135.64,56576.36,89.01,102252.6,9016.93,2552.46)
(6,17157.21,56065.13,87.66,105432.45,8811.96,949.62)
(7,17175.24,56069.72,71.04,89466.75,9911.75,1372.9)
(8,17274.56,56954.56,114.88,186180.72,10199.69,1067.36)
(9,17267.31,57322.78,180.91,302281.27,10468.55,1467.74)
(10,17315.41,57662.13,337.46,804722.67,10783.71,1817.2)
(11,17168.04,57445.98,451.98,1.21353488e6,9737.88,781.47)
(12,16908.68,57069.92,167.4,370229.42,9798.43,605.58)
(13,16476.05,57931.13,117.82,148295.28,10172.81,1391.76)
(14,16239.55,59349.76,201.69,257902.08,9534.12,7434.22)
(15,16134.5,59956.81,280.69,381724.95,9076.33,11707.16)
(16,16247.48,58527.28,277.25,385436.04,9273.32,7351.77)
(17,16436.65,57046.7,317.65,473756.72,9446.96,3835.3)
(18,16710.92,56216.28,382.8,674674.99,9690.21,1721.5)
(19,17080.98,55812.15,422.87,741767.63,10789.5,1882.32)
(20,17073.87,56810.32,459.81,790382.71,11037.36,1420.7)
(21,17244.83,56918.45,607.71,1.3177998e6,10432.16,1555.62)
(22,17318.2,57202.8,793.99,2.15584517e6,11114.26,1674.36)
(23,17240.46,56922.75,902.79,2.64038602e6,10652.86,793.33)
(24,16798.94,57080.2,266.86,508933.9,9857.16,870.83)
(25,16643.57,57626.99,254.44,297339.27,10389.73,1359.41)
(26,16432.23,58962.86,395.9,513096.84,9596.84,6453.03)
(27,16465.58,59564.91,341.5,480337.46,9240.8,10323.63)
(28,16422.62,58167.2,462.18,724207.15,9260.97,5718.1)
(29,16529.86,56837.61,433.53,767943.09,9282.3,2654.66)
(30,16778.42,55964.66,566.92,1.03679145e6,9758.07,1387.96)
(31,16868.67,55795.03,652.3,1.31847918e6,10252.58,1683.33)
(32,16882.02,56800.41,661.57,1.43833944e6,10125.4,1360.68)
(33,16932.04,57046.27,792.69,1.99870634e6,10386.69,1759.92)
(34,16961.01,57269.0,1084.99,3.14677435e6,10896.19,1782.44)
(35,16972.04,57024.2,1069.75,3.12487285e6,10805.99,1111.33)
(36,16478.08,57449.36,218.56,510754.82,9343.92,801.74)
(37,16156.9,58281.64,86.45,99574.86,9633.77,2248.91)
(38,15782.39,59773.15,235.46,293364.54,9015.49,6558.08)
(39,15915.72,60145.21,311.07,395162.61,8902.86,10881.37)
(40,16040.42,58634.82,376.76,523114.87,9608.13,7730.99)
(41,16176.95,57260.94,363.11,505599.4,9911.28,3714.0)
(42,16303.18,56618.78,388.04,559136.22,10561.33,2033.79)
(43,16500.45,56293.01,522.54,1.03664178e6,11353.0,3261.55)
(44,16690.17,57088.52,565.31,1.1276833e6,11440.09,2372.55)
(45,16827.44,57251.17,692.38,1.5459716e6,11076.77,2142.75)
(46,16707.11,57753.47,854.42,2.33231222e6,10858.15,1769.7)
(47,16686.48,57412.99,966.52,2.74885409e6,10313.91,1128.13)
(48,16355.67,57517.77,272.56,637116.15,9682.41,1161.69)
(49,16036.98,58359.27,128.75,176207.92,10020.52,2367.01)
(50,16028.57,59539.53,222.9,291657.14,8752.28,6229.05)
(51,16217.26,59866.23,288.51,380357.0,9010.1,9489.43)
(52,16370.62,58324.08,357.3,530457.88,8959.34,6917.35)
(53,16537.19,56985.03,278.77,489819.86,9160.05,3584.34)
(54,16864.21,56044.79,400.99,651353.3,9645.51,1496.68)
(55,16979.08,55912.51,424.42,711913.38,10528.92,2280.92)
(56,17048.72,56779.88,515.4,1.08927062e6,10554.08,1562.74)
(57,17080.09,57051.68,639.23,1.46909711e6,10875.68,1657.06)
(58,17062.65,57504.12,748.22,2.01994464e6,11045.77,2246.55)
