(1,82451.42)
(2,109325.18)
(3,131797.02)
(4,140948.06)
(5,139944.28)
(6,134111.25)
(7,123666.64)
(8,108734.33)
(9,93592.69)
(10,81633.53)
(11,73799.64)
(12,80079.52)
(13,102044.17)
(14,126108.41)
(15,143804.9)
(16,149179.62)
(17,146254.23)
(18,138549.59)
(19,126789.34)
(20,111057.56)
(21,95693.63)
(22,82872.19)
(23,74494.68)
(24,80758.19)
(25,102086.49)
(26,124830.41)
(27,141365.19)
(28,147197.51)
(29,145010.35)
(30,138358.46)
(31,127203.09)
(32,111291.44)
(33,95366.52)
(34,82142.46)
(35,74251.39)
(36,82610.24)
(37,105831.57)
(38,129765.87)
(39,148331.09)
(40,153833.25)
(41,151060.52)
(42,143711.58)
(43,131583.63)
(44,114189.04)
(45,97773.17)
(46,84352.17)
(47,77246.31)
(48,83614.04)
(49,106185.83)
(50,129839.24)
(51,147644.43)
(52,153896.52)
(53,152238.28)
(54,145706.54)
(55,134274.55)
(56,117501.5)
(57,100803.91)
(58,88392.4)
(59,81629.95)
(60,89668.01)
(61,112326.06)
(62,136610.26)
(63,154302.67)
(64,160231.97)
(65,158665.85)
(66,152366.68)
(67,140800.14)
(68,125532.21)
(69,110085.49)
(70,96071.07)
(71,86033.58)
(72,92271.8)
(73,112475.28)
(74,134357.16)
(75,149308.77)
(76,153735.89)
(77,150254.62)
(78,142400.88)
(79,130529.36)
(80,114011.6)
(81,97342.86)
(82,83707.03)
(83,75282.16)
(84,80890.42)
(85,102035.7)
(86,126877.41)
(87,146783.12)
(88,152787.11)
(89,150539.75)
(90,143543.22)
(91,131786.25)
(92,116012.6)
(93,100742.52)
(94,87827.55)
(95,80295.31)
(96,87018.05)
(97,108093.18)
(98,131655.51)
(99,149677.68)
(100,155137.79)
(101,151511.52)
(102,142688.93)
(103,129169.07)
(104,111108.43)
(105,94313.18)
(106,80026.95)
(107,70412.57)
(108,75317.99)
(109,94108.85)
(110,113668.76)
(111,128759.35)
(112,131440.47)
(113,123722.02)
(114,111342.93)
(115,93752.77)
(116,72073.25)
(117,50620.5)
(118,32003.06)
(119,16898.84)
(120,17420.07)
###################
(1,82451.42)
(2,92278.56)
(3,98583.25)
(4,96486.3)
(5,86596.71)
(6,74560.7)
(7,59864.41)
(8,42588.15)
(9,24382.03)
(10,9893.83)
(11,1077.98)
(12,6314.57)
(13,25121.03)
(14,45578.01)
(15,58146.96)
(16,63158.23)
(17,59537.93)
(18,52680.05)
(19,41512.85)
(20,29974.82)
(21,16492.6)
(22,5997.76)
(23,0.0)
(24,5594.3)
(25,24373.71)
(26,45943.5)
(27,60521.71)
(28,64837.33)
(29,60671.17)
(30,50391.28)
(31,40199.66)
(32,25530.04)
(33,11108.14)
(34,2829.94)
(35,0.0)
(36,7455.89)
(37,27835.21)
(38,48411.73)
(39,63272.25)
(40,68982.61)
(41,64951.43)
(42,56612.49)
(43,45343.36)
(44,29090.9)
(45,13383.66)
(46,2285.91)
(47,0.0)
(48,6264.17)
(49,26305.02)
(50,48231.78)
(51,62680.83)
(52,64857.89)
(53,60454.35)
(54,50767.71)
(55,40194.59)
(56,24334.95)
(57,10795.38)
(58,1371.92)
(59,0.0)
(60,5639.33)
(61,26221.8)
(62,47840.21)
(63,63548.0)
(64,68910.26)
(65,65711.25)
(66,58700.75)
(67,46612.77)
(68,33501.45)
(69,19636.39)
(70,10453.48)
(71,2720.25)
(72,11376.22)
(73,28781.26)
(74,47501.98)
