(1,18297.7,56227.3,0.0,0.0,9550.79,0.0)
(2,17881.88,57909.12,0.0,0.0,9416.95,42.99)
(3,17548.39,58823.61,0.0,0.0,8572.08,3664.01)
(4,17257.21,57765.93,28.85,32974.48,8505.18,6081.17)
(5,17125.76,56612.4,62.84,75378.49,8819.08,2411.57)
(6,17101.91,56103.14,104.96,129023.07,8809.37,681.85)
(7,17170.84,55985.06,160.1,220052.55,10151.2,1107.86)
(8,17190.68,56976.41,176.91,242392.6,10488.4,1149.18)
(9,17432.15,57100.22,238.63,366672.09,10043.89,1494.17)
(10,17277.5,57693.12,344.38,678707.96,10779.88,1682.57)
(11,17360.15,57195.97,509.88,1.2655134e6,10358.22,1248.04)
(12,17164.31,56686.79,294.9,721180.1,9551.41,712.7)
(13,16671.84,57710.96,142.2,181162.7,9513.44,1658.51)
(14,17100.72,58431.59,258.69,306801.28,9996.0,5730.37)
(15,17257.42,58665.76,448.83,583167.55,9246.04,9592.13)
(16,17200.95,57375.77,475.28,675962.4,9283.19,6047.22)
(17,17252.46,56085.28,463.26,758295.53,9215.27,2889.99)
(18,17432.31,55364.67,513.02,853524.01,9157.01,1456.35)
(19,17556.65,55211.94,547.41,925220.06,10292.96,2179.52)
(20,17673.0,56012.36,658.63,1.43426362e6,10481.68,1775.82)
(21,17809.81,56136.21,824.99,1.94545948e6,10438.6,1643.56)
(22,18046.76,56196.14,1072.1,3.01476061e6,11347.97,1385.33)
(23,17875.99,56057.36,1132.65,3.28245752e6,10458.14,934.67)
(24,17402.38,56335.59,408.04,857869.93,9635.43,460.06)
(25,17147.05,57101.96,275.99,334551.2,10213.51,1101.47)
(26,16929.92,58477.34,383.74,511048.68,9999.9,5177.69)
(27,17191.74,58689.22,491.04,703792.21,9205.01,7371.81)
(28,17211.56,57276.38,564.07,862505.39,9219.56,5289.61)
(29,16994.03,56236.01,570.96,859587.74,9246.39,2281.78)
(30,17097.98,55572.39,639.64,1.0747556e6,9494.53,1038.82)
(31,17020.82,55659.34,635.85,994073.28,10759.89,1871.59)
(32,17228.29,56439.0,676.71,1.39702132e6,10821.31,1251.83)
(33,17365.3,56525.59,880.11,2.05339745e6,10635.46,1863.95)
(34,17438.02,56889.1,987.88,2.58478903e6,11155.82,2015.87)
(35,17520.96,56498.33,1046.71,2.96367415e6,10420.17,1154.86)
(36,17093.23,56786.26,266.51,547993.44,9354.92,811.9)
(37,16374.61,58038.35,112.04,129009.44,9746.49,1455.85)
(38,16514.22,59004.76,272.02,325890.01,9367.11,6456.3)
(39,16625.8,59431.69,314.51,392286.08,9168.86,8909.0)
(40,16930.62,57611.58,509.81,736232.78,9403.07,6877.72)
(41,16893.17,56438.44,469.39,812751.05,9801.84,3380.32)
(42,16939.95,55826.78,543.27,1.00300612e6,9872.37,1723.45)
(43,16972.84,55765.32,577.84,1.09122388e6,10808.29,2402.51)
(44,16944.41,56725.32,674.27,1.23982245e6,10588.72,1542.3)
(45,16996.09,57004.25,770.66,1.58404682e6,10555.78,1786.08)
(46,17279.2,57026.4,1009.39,2.61672932e6,10515.75,1275.01)
(47,16962.86,57146.6,956.54,2.63807291e6,10298.15,640.86)
(48,16992.13,56775.51,378.36,827956.91,9767.11,447.47)
(49,16654.08,57669.21,201.7,233037.33,9654.55,1888.88)
(50,16751.3,58792.43,247.27,311425.1,9004.17,6616.68)
(51,16821.77,59176.6,373.64,510445.81,9198.89,9365.14)
(52,16623.77,58075.9,352.33,508278.16,9132.53,6615.49)
(53,16827.62,56593.95,379.43,554944.27,9632.78,3588.88)
(54,16949.25,55918.35,442.4,735854.65,9501.75,1540.36)
(55,17135.47,55653.48,527.06,870494.33,10550.42,2691.93)
