||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_linearized.jl
DATETIME
2025-04-01T02:07:28.700
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.Simulation(SDDP.InSampleMonteCarlo(0, false, true, SDDP.var"#155#158"{SDDP.var"#156#159"}(SDDP.var"#156#159"(), Core.Box(0)), nothing), 2000, 11111), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Final Run (2h)/Run_shapiro_model_444444/LinearizedSDDP.log", false, false, false, 444444, "", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 120
  state variables : 8
  scenarios       : 1.00000e+238
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [170, 174]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.EqualTo{Float64}     : [1, 1]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [157, 157]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [148, 149]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
        74   3.986768e+08  1.087813e+08  1.638690e+02    889554   1
        75   3.876079e+08  1.095066e+08  1.661660e+02    901575   1
        76   4.470397e+08  1.101018e+08  1.684330e+02    913596   1
        77   2.887015e+08  1.107861e+08  1.706670e+02    925617   1
        78   2.578838e+08  1.116794e+08  1.729320e+02    937638   1
        79   2.972660e+08  1.118243e+08  1.751980e+02    949659   1
        80   7.102596e+08  1.122333e+08  1.774950e+02    961680   1
        81   1.997594e+08  1.122620e+08  1.798070e+02    973701   1
        82   3.007530e+08  1.123708e+08  1.820730e+02    985722   1
        83   3.813336e+08  1.123957e+08  1.843700e+02    997743   1
        84   4.021181e+08  1.143266e+08  1.866200e+02   1009764   1
        85   3.914287e+08  1.151283e+08  1.888850e+02   1021785   1
        86   5.179577e+08  1.175545e+08  1.911350e+02   1033806   1
        87   1.872082e+08  1.182071e+08  1.934470e+02   1045827   1
        88   2.623316e+08  1.194417e+08  1.957130e+02   1057848   1
        89   2.739573e+08  1.203626e+08  1.980100e+02   1069869   1
        90   1.851738e+08  1.205776e+08  2.002760e+02   1081890   1
        91   1.896198e+08  1.217794e+08  2.025260e+02   1093911   1
        92   4.391304e+08  1.220794e+08  2.048230e+02   1105932   1
        93   3.491952e+08  1.222797e+08  2.071360e+02   1117953   1
        94   3.260393e+08  1.229940e+08  2.094480e+02   1129974   1
        95   2.202118e+08  1.246749e+08  2.117290e+02   1141995   1
        96   3.599979e+08  1.248070e+08  2.140270e+02   1154016   1
        97   4.971146e+08  1.260153e+08  2.163240e+02   1166037   1
        98   2.954608e+08  1.271170e+08  2.186050e+02   1178058   1
        99   2.999495e+08  1.279438e+08  2.209490e+02   1190079   1
       100   2.950878e+08  1.280994e+08  2.232460e+02   1202100   1
       101   6.203551e+08  1.282426e+08  2.255900e+02   1214121   1
       102   2.284933e+08  1.283871e+08  2.279040e+02   1226142   1
       103   3.103790e+08  1.300375e+08  2.302330e+02   1238163   1
       104   6.100807e+08  1.308800e+08  2.325610e+02   1250184   1
       105   4.042046e+08  1.311162e+08  2.349510e+02   1262205   1
       106   1.763634e+08  1.312199e+08  2.372640e+02   1274226   1
       107   2.658087e+08  1.312775e+08  2.395920e+02   1286247   1
       108   2.796719e+08  1.313354e+08  2.419210e+02   1298268   1
       109   2.405794e+08  1.314000e+08  2.442500e+02   1310289   1
       110   3.280629e+08  1.314018e+08  2.465630e+02   1322310   1
       111   3.870732e+08  1.316728e+08  2.489220e+02   1334331   1
       112   3.094935e+08  1.318958e+08  2.512350e+02   1346352   1
       113   3.565435e+08  1.322327e+08  2.535780e+02   1358373   1
       114   2.607912e+08  1.323871e+08  2.559060e+02   1370394   1
       115   4.394188e+08  1.324952e+08  2.582510e+02   1382415   1
       116   2.244237e+08  1.325329e+08  2.605790e+02   1394436   1
       117   3.410536e+08  1.339193e+08  2.629850e+02   1406457   1
       118   1.152757e+08  1.349612e+08  2.652670e+02   1418478   1
       119   2.336512e+08  1.353361e+08  2.675800e+02   1430499   1
       120   2.220867e+08  1.353742e+08  2.699090e+02   1442520   1
       121   1.947297e+08  1.358212e+08  2.722220e+02   1454541   1
       122   1.513146e+08  1.361332e+08  2.745210e+02   1466562   1
       123   1.493253e+08  1.362920e+08  2.768800e+02   1478583   1
       124   2.199587e+08  1.364006e+08  2.792240e+02   1490604   1
       125   3.247892e+08  1.364373e+08  2.815830e+02   1502625   1
       126   4.833145e+08  1.364905e+08  2.839110e+02   1514646   1
       127   4.838131e+08  1.367892e+08  2.862400e+02   1526667   1
       128   1.193736e+08  1.369536e+08  2.885690e+02   1538688   1
       129   1.808345e+08  1.370467e+08  2.909750e+02   1550709   1
       130   3.040294e+08  1.371439e+08  2.933350e+02   1562730   1
       131   2.851411e+08  1.371794e+08  2.956470e+02   1574751   1
       132   5.860901e+08  1.373523e+08  2.980060e+02   1586772   1
       133   5.604930e+08  1.374090e+08  3.003810e+02   1598793   1
       134   2.252873e+08  1.374633e+08  3.027420e+02   1610814   1
       135   1.613531e+08  1.374816e+08  3.051490e+02   1622835   1
       136   2.539861e+08  1.376625e+08  3.074770e+02   1634856   1
       137   2.515693e+08  1.377454e+08  3.098530e+02   1646877   1
       138   2.528869e+08  1.377751e+08  3.121810e+02   1658898   1
       139   1.370609e+08  1.378340e+08  3.145250e+02   1670919   1
       140   2.755591e+08  1.378509e+08  3.168860e+02   1682940   1
       141   2.746143e+08  1.381663e+08  3.193390e+02   1694961   1
       142   2.161602e+08  1.381830e+08  3.217290e+02   1706982   1
       143   5.242780e+08  1.384755e+08  3.241350e+02   1719003   1
       144   2.141509e+08  1.386613e+08  3.264790e+02   1731024   1
       145   2.257241e+08  1.387132e+08  3.288530e+02   1743045   1
       146   4.543340e+08  1.388529e+08  3.312140e+02   1755066   1
       147   3.143199e+08  1.389467e+08  3.336830e+02   1767087   1
       148   2.309873e+08  1.389668e+08  3.360730e+02   1779108   1
       149   2.463421e+08  1.392094e+08  3.384320e+02   1791129   1
       150   3.369106e+08  1.393816e+08  3.408540e+02   1803150   1
       151   3.279418e+08  1.413575e+08  3.432290e+02   1815171   1
       152   2.336007e+08  1.414180e+08  3.456210e+02   1827192   1
       153   2.930183e+08  1.430175e+08  3.480740e+02   1839213   1
       154   1.884734e+08  1.437890e+08  3.504640e+02   1851234   1
       155   1.337589e+08  1.439375e+08  3.528390e+02   1863255   1
       156   4.836890e+08  1.439828e+08  3.552310e+02   1875276   1
       157   5.693003e+08  1.445658e+08  3.576530e+02   1887297   1
       158   2.592711e+08  1.450617e+08  3.600600e+02   1899318   1
       159   2.499551e+08  1.452570e+08  3.625310e+02   1911339   1
       160   1.725848e+08  1.452638e+08  3.649370e+02   1923360   1
       161   4.263924e+08  1.459972e+08  3.673430e+02   1935381   1
       162   3.162205e+08  1.463355e+08  3.697490e+02   1947402   1
       163   1.619587e+08  1.463425e+08  3.721400e+02   1959423   1
       164   1.578845e+08  1.465292e+08  3.745640e+02   1971444   1
       165   3.979645e+08  1.465603e+08  3.769710e+02   1983465   1
       166   2.596052e+08  1.466583e+08  3.793770e+02   1995486   1
       167   2.527169e+08  1.466812e+08  3.817680e+02   2007507   1
       168   4.199179e+08  1.466832e+08  3.842060e+02   2019528   1
       169   2.139962e+08  1.468085e+08  3.865970e+02   2031549   1
       170   2.389934e+08  1.471093e+08  3.890510e+02   2043570   1
       171   2.606098e+08  1.476367e+08  3.914420e+02   2055591   1
       172   3.638766e+08  1.479795e+08  3.938170e+02   2067612   1
       173   4.068517e+08  1.485734e+08  3.962400e+02   2079633   1
