(1,18297.7,56227.3,0.0,0.0,8950.79,0.0)
(2,18502.08,57288.92,0.0,0.0,8487.91,0.0)
(3,18240.6,58131.4,9.55,10916.65,8748.83,3750.0)
(4,18131.63,56920.37,61.51,70291.61,9092.52,3620.08)
(5,18215.75,55585.25,142.27,162582.47,9156.01,1607.37)
(6,18276.05,55033.95,163.13,203945.78,9184.96,876.88)
(7,18567.08,54748.92,243.53,378050.04,9880.85,1062.01)
(8,18610.96,55733.04,320.91,604720.22,10079.63,709.04)
(9,19197.37,55573.63,517.89,1.12318094e6,10128.79,561.92)
(10,19911.22,55403.78,855.71,2.29744458e6,10507.61,602.5)
(11,20038.15,55027.85,1030.57,3.07164813e6,10663.52,304.23)
(12,18903.5,55242.5,476.04,948863.68,9472.0,217.21)
(13,18256.45,56268.55,247.64,288919.29,9221.93,415.14)
(14,17722.86,58068.14,270.83,351514.28,9112.43,4091.89)
(15,17887.99,58484.01,346.25,446277.74,9031.59,9097.05)
(16,17809.51,57242.49,365.95,516648.54,9395.92,6425.68)
(17,18287.82,55513.18,420.65,699815.19,9535.92,2630.42)
(18,18414.29,54895.71,519.78,953216.83,9654.69,1453.96)
(19,18801.64,54514.36,702.92,1.42480073e6,10433.21,1371.38)
(20,19151.55,55192.45,972.5,2.17727126e6,10601.5,1304.54)
(21,19722.82,55048.18,1325.9,3.70893374e6,10557.29,965.86)
(22,20249.2,55065.8,1712.42,5.28731668e6,11145.19,835.75)
(23,20146.46,54919.54,1602.29,4.97139118e6,10718.38,274.68)
(24,19278.93,54867.07,782.06,1.67308986e6,9399.87,192.13)
(25,18210.71,56314.29,441.3,548337.13,9555.44,904.53)
(26,18070.06,57720.94,421.59,562796.53,9723.02,4212.35)
(27,17817.84,58554.16,403.65,507707.09,9282.0,8032.28)
(28,17464.9,57587.1,451.13,620627.56,9316.95,6520.94)
(29,17747.54,56053.46,548.55,808530.24,9379.4,3185.22)
(30,18220.77,55089.23,679.85,1.41132856e6,9522.0,1049.64)
(31,18675.23,54640.77,819.06,1.81384566e6,10295.09,1405.95)
(32,19170.68,55173.32,999.14,2.6035648e6,10195.62,1087.85)
(33,19505.5,55265.5,1208.51,3.38699157e6,11198.3,1096.12)
(34,20086.74,55228.26,1560.75,4.71277171e6,11405.93,549.62)
(35,20074.84,54991.16,1579.34,4.96440303e6,10978.61,277.32)
(36,18536.76,55609.24,408.83,941081.92,9871.6,353.43)
(37,18236.56,56288.44,229.62,275929.34,9651.93,608.14)
(38,18246.5,57544.5,381.0,501725.11,9496.49,3833.71)
(39,18177.93,58194.07,543.4,724947.06,9545.59,6851.9)
(40,18068.1,56983.9,584.78,859005.21,9835.44,6264.86)
