(1,21113.17)
(2,30055.58)
(3,37665.97)
(4,39393.72)
(5,37341.33)
(6,33228.05)
(7,28044.06)
(8,22491.68)
(9,17158.17)
(10,12618.63)
(11,10257.95)
(12,11915.29)
(13,17543.25)
(14,24289.7)
(15,29851.86)
(16,31869.21)
(17,30249.13)
(18,26757.19)
(19,22599.23)
(20,18300.78)
(21,13734.85)
(22,9912.05)
(23,8067.02)
(24,10028.25)
(25,15246.73)
(26,21641.14)
(27,27372.98)
(28,30590.3)
(29,29767.55)
(30,26512.76)
(31,22228.03)
(32,17754.87)
(33,13660.88)
(34,10234.25)
(35,8547.95)
(36,10606.59)
(37,15664.06)
(38,21791.37)
(39,27861.49)
(40,30953.27)
(41,30824.93)
(42,28698.63)
(43,25710.81)
(44,22474.24)
(45,18655.39)
(46,14933.34)
(47,12865.44)
(48,14583.24)
(49,19009.38)
(50,24668.29)
(51,29814.27)
(52,32859.15)
(53,32476.64)
(54,29678.71)
(55,26117.04)
(56,21599.75)
(57,17023.59)
(58,12865.62)
(59,10751.88)
(60,12843.26)
(61,19398.4)
(62,27238.93)
(63,33313.25)
(64,36693.08)
(65,36620.5)
(66,33402.52)
(67,28954.55)
(68,23813.67)
(69,18488.91)
(70,13870.58)
(71,11710.57)
(72,14090.08)
(73,20196.44)
(74,28014.43)
(75,34074.65)
(76,36693.37)
(77,35760.56)
(78,32195.28)
(79,27732.62)
(80,22754.4)
(81,17607.45)
(82,13109.85)
(83,10695.36)
(84,12824.94)
(85,17483.81)
(86,22898.66)
(87,28285.75)
(88,31257.21)
(89,30717.49)
(90,28155.57)
(91,24375.38)
(92,20005.94)
(93,15351.05)
(94,11286.68)
(95,9042.27)
(96,10742.35)
(97,16365.97)
(98,22245.07)
(99,27312.7)
(100,29552.58)
(101,28412.66)
(102,25224.53)
(103,21194.28)
(104,17130.58)
(105,12726.9)
(106,8977.93)
(107,7124.14)
(108,8759.1)
(109,13910.22)
(110,20722.18)
(111,26519.59)
(112,29576.02)
(113,28860.63)
(114,25823.74)
(115,21778.33)
(116,17350.52)
(117,12487.26)
(118,7966.56)
(119,3928.59)
(120,4931.8)
###################
(1,21113.17)
(2,21511.05)
(3,21709.72)
(4,20168.02)
(5,15601.07)
(6,9981.44)
(7,3712.87)
(8,0.0)
(9,0.0)
(10,0.0)
(11,0.0)
(12,0.0)
(13,580.23)
(14,2373.73)
(15,4294.46)
(16,3697.97)
(17,604.8)
(18,0.0)
(19,0.0)
(20,0.0)
(21,0.0)
(22,0.0)
(23,0.0)
(24,0.0)
(25,448.08)
(26,1770.36)
(27,2313.5)
(28,2817.6)
(29,716.35)
(30,0.0)
(31,0.0)
(32,0.0)
(33,0.0)
(34,0.0)
(35,0.0)
(36,0.0)
(37,0.0)
(38,236.2)
(39,2489.95)
(40,3898.99)
(41,4179.97)
(42,2635.11)
(43,1165.71)
(44,0.0)
(45,0.0)
(46,0.0)
(47,0.0)
(48,0.0)
(49,123.51)
(50,1104.67)
(51,3143.83)
(52,3905.83)
(53,3667.07)
(54,910.89)
(55,0.0)
(56,0.0)
(57,0.0)
(58,0.0)
(59,0.0)
