||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-28T00:24:43.631
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run (2h)/Run_MC-SDDP_lattice_11111/MC-SDDP.log", false, false, false, 11111, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
        77   3.113470e+08  1.516002e+08  2.469680e+02    799101   1
        78   2.445428e+08  1.517718e+08  2.503860e+02    809418   1
        79   4.445143e+08  1.530489e+08  2.538710e+02    820059   1
        80   2.080911e+08  1.534301e+08  2.569750e+02    830509   1
        81   3.576468e+08  1.555733e+08  2.605200e+02    840929   1
        82   2.396510e+08  1.572760e+08  2.658910e+02    851486   1
        83   4.451421e+08  1.574214e+08  2.695980e+02    861672   1
        84   2.224497e+08  1.578413e+08  2.733210e+02    872341   1
        85   1.756409e+08  1.587279e+08  2.770110e+02    882458   1
        86   1.974553e+08  1.587347e+08  2.809250e+02    892859   1
        87   3.100362e+08  1.596121e+08  2.847980e+02    903206   1
        88   3.284147e+08  1.597435e+08  2.886450e+02    913220   1
        89   2.522256e+08  1.598855e+08  2.925300e+02    923721   1
        90   2.799810e+08  1.605768e+08  2.963710e+02    933985   1
        91   4.256440e+08  1.620485e+08  3.002230e+02    944332   1
        92   3.747885e+08  1.623723e+08  3.041880e+02    954533   1
        93   3.623822e+08  1.633812e+08  3.080980e+02    964867   1
        94   3.611905e+08  1.656384e+08  3.120510e+02    975209   1
        95   5.005431e+08  1.659673e+08  3.159140e+02    985472   1
        96   4.320164e+08  1.664046e+08  3.199090e+02    995858   1
        97   4.071654e+08  1.664586e+08  3.238020e+02   1006070   1
        98   3.670181e+08  1.679001e+08  3.278470e+02   1016561   1
        99   3.719505e+08  1.697763e+08  3.317460e+02   1026891   1
       100   4.573935e+08  1.699322e+08  3.356950e+02   1036991   1
       101   1.936180e+08  1.719248e+08  3.397110e+02   1047703   1
       102   2.924412e+08  1.722824e+08  3.437300e+02   1058290   1
       103   4.693487e+08  1.725923e+08  3.477030e+02   1068852   1
       104   6.001258e+08  1.728495e+08  3.516520e+02   1079268   1
       105   4.590275e+08  1.740343e+08  3.557380e+02   1089870   1
       106   4.851926e+08  1.744083e+08  3.596990e+02   1100239   1
       107   1.876916e+08  1.758649e+08  3.637320e+02   1110661   1
       108   2.685913e+08  1.762720e+08  3.678010e+02   1121233   1
       109   2.722317e+08  1.766902e+08  3.717610e+02   1131584   1
       110   4.524288e+08  1.777079e+08  3.758410e+02   1141915   1
       111   3.955973e+08  1.777421e+08  3.798580e+02   1152430   1
       112   3.859256e+08  1.778187e+08  3.838660e+02   1163010   1
       113   2.152085e+08  1.782776e+08  3.879390e+02   1173552   1
       114   6.108122e+08  1.789531e+08  3.919170e+02   1183930   1
       115   3.734634e+08  1.797299e+08  3.958860e+02   1194269   1
       116   4.589658e+08  1.800689e+08  3.999980e+02   1204941   1
       117   4.133163e+08  1.802325e+08  4.041160e+02   1215572   1
       118   5.346317e+08  1.806942e+08  4.082080e+02   1225993   1
       119   2.070570e+08  1.822105e+08  4.122210e+02   1236301   1
       120   3.197950e+08  1.822707e+08  4.163350e+02   1246782   1
       121   4.917652e+08  1.823650e+08  4.203760e+02   1256754   1
       122   2.106736e+08  1.826148e+08  4.245010e+02   1267077   1
       123   3.388231e+08  1.830340e+08  4.287280e+02   1277727   1
       124   7.092078e+08  1.833121e+08  4.327440e+02   1288174   1
       125   3.804253e+08  1.835240e+08  4.368590e+02   1298508   1
       126   5.238371e+08  1.835362e+08  4.409560e+02   1308765   1
       127   3.459436e+08  1.835510e+08  4.450720e+02   1319107   1
       128   1.707858e+08  1.836373e+08  4.492370e+02   1329535   1
       129   2.483705e+08  1.839291e+08  4.534170e+02   1340186   1
       130   2.524149e+08  1.840960e+08  4.576520e+02   1350765   1
       131   4.636443e+08  1.849307e+08  4.618770e+02   1361068   1
       132   2.396201e+08  1.849387e+08  4.661770e+02   1371693   1
       133   6.663295e+08  1.853151e+08  4.703580e+02   1382130   1
       134   4.690632e+08  1.853151e+08  4.745850e+02   1392283   1
       135   4.956519e+08  1.859607e+08  4.788130e+02   1402680   1
       136   2.895959e+08  1.860386e+08  4.829940e+02   1413036   1
       137   2.309223e+08  1.861089e+08  4.873110e+02   1423857   1
       138   2.531219e+08  1.862108e+08  4.916410e+02   1434361   1
       139   2.512021e+08  1.868009e+08  4.958460e+02   1444691   1
       140   2.372614e+08  1.872422e+08  5.001220e+02   1455085   1
       141   3.512795e+08  1.872755e+08  5.045130e+02   1465601   1
       142   3.335031e+08  1.875258e+08  5.087440e+02   1475692   1
       143   1.929342e+08  1.878123e+08  5.129460e+02   1485689   1
       144   6.150228e+08  1.879394e+08  5.172860e+02   1496262   1
       145   1.806133e+08  1.880741e+08  5.215680e+02   1506701   1
       146   3.792002e+08  1.884591e+08  5.259270e+02   1517442   1
       147   2.153911e+08  1.895605e+08  5.302900e+02   1527963   1
       148   7.219860e+08  1.902293e+08  5.346420e+02   1538315   1
       149   3.190037e+08  1.903163e+08  5.390970e+02   1549003   1
       150   1.950718e+08  1.904703e+08  5.434660e+02   1559485   1
       151   3.325615e+08  1.908939e+08  5.479090e+02   1570136   1
       152   3.766556e+08  1.909899e+08  5.522850e+02   1580353   1
       153   4.062131e+08  1.913976e+08  5.567760e+02   1591168   1
       154   7.002148e+08  1.914192e+08  5.611650e+02   1601528   1
       155   5.989143e+08  1.915783e+08  5.656570e+02   1612058   1
       156   2.236029e+08  1.915951e+08  5.701530e+02   1622580   1
       157   2.322941e+08  1.923202e+08  5.746540e+02   1632980   1
       158   3.448555e+08  1.924093e+08  5.790930e+02   1643603   1
       159   2.655572e+08  1.934935e+08  5.835740e+02   1654158   1
       160   2.827516e+08  1.935163e+08  5.880750e+02   1664552   1
       161   6.073711e+08  1.935573e+08  5.924820e+02   1674650   1
       162   4.610178e+08  1.936020e+08  5.969560e+02   1684955   1
       163   5.892171e+08  1.937036e+08  6.015300e+02   1695252   1
       164   2.276992e+08  1.944409e+08  6.061150e+02   1705759   1
       165   2.029958e+08  1.946190e+08  6.106680e+02   1716135   1
       166   4.789175e+08  1.946361e+08  6.152790e+02   1726511   1
       167   2.998719e+08  1.946505e+08  6.198470e+02   1737152   1
       168   1.962262e+08  1.948678e+08  6.243760e+02   1747410   1
       169   1.965835e+08  1.964459e+08  6.289550e+02   1757856   1
