||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-29T02:23:59.889
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run (2h)/Run_MC-SDDP_fitted_model_33333/MC-SDDP.log", false, false, false, 33333, "MC-SDDP: 100 nodes, fitted_model", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.Historical{String, Dict{String, Float64}}
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
        77   3.352965e+08  1.377757e+08  2.541910e+02    800633   1
        78   2.869720e+08  1.390420e+08  2.575560e+02    811360   1
        79   6.553520e+08  1.401509e+08  2.607610e+02    821545   1
        80   3.404404e+08  1.423679e+08  2.641380e+02    832290   1
        81   2.070854e+08  1.427717e+08  2.673950e+02    842619   1
        82   2.293295e+08  1.445601e+08  2.707620e+02    853059   1
        83   2.198627e+08  1.452510e+08  2.739030e+02    862780   1
        84   2.369029e+08  1.452897e+08  2.771540e+02    872898   1
        85   4.476874e+08  1.456130e+08  2.803610e+02    883062   1
        86   4.925945e+08  1.456322e+08  2.836740e+02    893280   1
        87   2.134816e+08  1.459407e+08  2.870090e+02    903602   1
        88   4.143817e+08  1.459617e+08  2.904380e+02    914021   1
        89   2.735393e+08  1.459916e+08  2.938500e+02    924232   1
        90   6.639340e+08  1.460598e+08  2.972660e+02    934596   1
        91   1.673367e+08  1.486518e+08  3.007530e+02    945169   1
        92   5.092672e+08  1.486856e+08  3.041560e+02    955457   1
        93   4.368242e+08  1.487174e+08  3.075820e+02    965819   1
        94   1.910747e+08  1.502267e+08  3.110860e+02    976415   1
        95   2.927575e+08  1.502328e+08  3.145590e+02    986798   1
        96   2.054859e+08  1.514211e+08  3.180390e+02    997266   1
        97   1.969276e+08  1.514241e+08  3.216020e+02   1007580   1
        98   2.133974e+08  1.517100e+08  3.251490e+02   1017764   1
        99   3.710211e+08  1.525326e+08  3.287000e+02   1028338   1
       100   2.365212e+08  1.527763e+08  3.348390e+02   1038474   1
       101   4.420182e+08  1.532235e+08  3.382630e+02   1048797   1
       102   2.158008e+08  1.532266e+08  3.416050e+02   1058757   1
       103   2.624530e+08  1.565862e+08  3.449730e+02   1068741   1
       104   3.124947e+08  1.565908e+08  3.484460e+02   1079286   1
       105   1.921174e+08  1.567473e+08  3.518990e+02   1089487   1
       106   8.134910e+08  1.571113e+08  3.553920e+02   1100089   1
       107   2.694381e+08  1.571407e+08  3.589670e+02   1110663   1
       108   2.315737e+08  1.582275e+08  3.624960e+02   1121130   1
       109   2.187857e+08  1.585996e+08  3.661790e+02   1131812   1
       110   1.585572e+08  1.586033e+08  3.697370e+02   1142231   1
       111   1.987283e+08  1.590252e+08  3.732650e+02   1152524   1
       112   2.115349e+08  1.590694e+08  3.768280e+02   1162543   1
       113   5.929416e+08  1.595682e+08  3.803220e+02   1172875   1
       114   1.637625e+08  1.596840e+08  3.837850e+02   1182603   1
       115   3.049983e+08  1.596936e+08  3.873140e+02   1192689   1
       116   2.633033e+08  1.598866e+08  3.909140e+02   1203071   1
       117   3.123593e+08  1.617522e+08  3.945650e+02   1213568   1
       118   3.803552e+08  1.629036e+08  3.982300e+02   1224035   1
       119   1.913622e+08  1.631933e+08  4.019270e+02   1234552   1
       120   2.417936e+08  1.646537e+08  4.057620e+02   1244981   1
       121   2.058672e+08  1.647238e+08  4.094360e+02   1255147   1
       122   4.193107e+08  1.654072e+08  4.130940e+02   1265296   1
       123   1.833613e+08  1.667252e+08  4.167610e+02   1275443   1
       124   4.230137e+08  1.681887e+08  4.205470e+02   1286187   1
       125   2.014654e+08  1.682099e+08  4.243370e+02   1296651   1
       126   1.671725e+08  1.689116e+08  4.280210e+02   1306675   1
       127   2.001578e+08  1.692227e+08  4.316990e+02   1316746   1
       128   2.554139e+08  1.699750e+08  4.386400e+02   1327226   1
       129   2.862400e+08  1.699810e+08  4.422540e+02   1337266   1
       130   2.159773e+08  1.705694e+08  4.459060e+02   1347644   1
       131   2.110115e+08  1.707147e+08  4.494870e+02   1357813   1
       132   5.664058e+08  1.718252e+08  4.530800e+02   1367665   1
       133   2.871961e+08  1.721636e+08  4.568000e+02   1378079   1
       134   2.167360e+08  1.725727e+08  4.605120e+02   1388317   1
       135   1.817366e+08  1.733463e+08  4.642200e+02   1398637   1
       136   2.495811e+08  1.734018e+08  4.679930e+02   1408991   1
       137   1.800229e+08  1.734862e+08  4.717490e+02   1419255   1
