(1,86551.29)
(2,112339.72)
(3,134012.49)
(4,141596.65)
(5,138563.74)
(6,130323.15)
(7,118225.35)
(8,101796.64)
(9,85749.27)
(10,74194.36)
(11,67040.4)
(12,74047.73)
(13,96573.76)
(14,121800.47)
(15,139755.97)
(16,145872.21)
(17,143813.8)
(18,137895.31)
(19,127245.31)
(20,111759.82)
(21,96453.15)
(22,82907.35)
(23,73518.96)
(24,80204.92)
(25,101526.98)
(26,125581.76)
(27,142067.42)
(28,146389.45)
(29,143254.86)
(30,135630.02)
(31,124457.35)
(32,109647.08)
(33,94696.43)
(34,81547.35)
(35,73060.16)
(36,79917.57)
(37,102319.77)
(38,126947.35)
(39,145698.66)
(40,152324.56)
(41,151299.28)
(42,145768.29)
(43,135531.69)
(44,120471.82)
(45,105868.7)
(46,93493.93)
(47,85821.77)
(48,93662.02)
(49,116037.63)
(50,139353.03)
(51,155698.01)
(52,160533.12)
(53,158291.61)
(54,151155.74)
(55,139150.82)
(56,123035.12)
(57,107867.86)
(58,94829.88)
(59,86003.32)
(60,92808.7)
(61,114903.18)
(62,139668.36)
(63,157533.85)
(64,163934.22)
(65,162465.39)
(66,156561.74)
(67,145634.13)
(68,129730.07)
(69,113607.55)
(70,99350.11)
(71,90588.67)
(72,96673.35)
(73,117336.09)
(74,140794.83)
(75,156971.12)
(76,161573.88)
(77,158954.88)
(78,152479.62)
(79,141437.38)
(80,126313.71)
(81,111433.55)
(82,99252.61)
(83,91829.99)
(84,99065.6)
(85,120606.3)
(86,144064.78)
(87,162065.71)
(88,168532.03)
(89,167128.03)
(90,161151.5)
(91,149710.15)
(92,133198.98)
(93,116741.85)
(94,102696.46)
(95,93612.46)
(96,99974.47)
(97,119584.63)
(98,142907.53)
(99,158292.7)
(100,162588.6)
(101,158819.01)
(102,149717.83)
(103,136247.63)
(104,118856.85)
(105,101662.67)
(106,87837.57)
(107,79096.71)
(108,84891.13)
(109,103592.38)
(110,124184.79)
(111,140274.32)
(112,142688.75)
(113,135002.57)
(114,122777.63)
(115,104770.74)
(116,82418.46)
(117,60422.58)
(118,40994.13)
(119,25007.92)
(120,23635.75)
###################
(1,86551.29)
(2,87890.81)
(3,98432.43)
(4,96714.59)
(5,86929.81)
(6,74447.04)
(7,58990.41)
(8,41113.04)
(9,23511.74)
(10,11457.97)
(11,3394.56)
(12,8265.21)
(13,26289.5)
(14,45178.4)
(15,58399.29)
(16,64759.31)
(17,62511.39)
(18,56097.59)
(19,46347.88)
(20,32036.68)
(21,16511.03)
(22,4310.62)
(23,0.0)
(24,7137.19)
(25,23778.95)
(26,44604.13)
(27,56541.27)
(28,58304.91)
(29,55052.83)
(30,47361.26)
(31,37993.51)
(32,25449.07)
(33,11762.07)
(34,244.73)
(35,0.0)
(36,2308.45)
(37,20679.61)
(38,38692.15)
(39,55078.27)
(40,60161.02)
(41,58303.04)
(42,52753.85)
