6913.70; 3035.29; 3231.45; 2180.07; 16912.88; 15889.86; 12667.53; 5718.43; 14810.55; 7526.61; 4199.76; 5062.27
4905.63; 7596.87; 8531.67; 22061.70; 16345.18; 13510.24; 9587.54; 6743.23; 12961.52; 12948.86; 5429.92; 7230.44
2741.27; 3305.30; 2982.78; 1788.60; 2254.98; 2454.48; 2643.32; 3949.77; 5693.43; 11292.29; 4741.56; 1981.64
3889.74; 8592.89; 5408.01; 7489.35; 6441.44; 4817.96; 3820.98; 5158.43; 5639.16; 6509.95; 2721.96; 5455.27
2906.61; 2243.54; 3765.85; 2145.02; 1392.47; 4691.32; 9195.42; 13241.91; 16417.50; 34382.48; 8898.61; 9803.21
9737.34; 3607.14; 2976.50; 2062.52; 5762.44; 24231.46; 9182.69; 14647.94; 12224.83; 12824.89; 7080.66; 4316.23
4582.36; 4208.33; 7555.76; 6293.03; 3756.55; 2890.71; 4532.13; 6524.40; 7956.42; 11637.88; 11490.19; 5104.42
7840.34; 12965.38; 4249.08; 6231.25; 13496.43; 17790.40; 19485.03; 5641.54; 5128.03; 4695.83; 4601.54; 2964.11
3721.57; 4460.79; 8754.54; 5662.84; 10844.57; 7940.98; 7082.37; 4163.03; 9671.52; 5758.04; 13975.67; 19844.04
9954.86; 6994.78; 3969.89; 7730.53; 7979.06; 5307.35; 5964.76; 7890.84; 4602.43; 7245.19; 4130.68; 6208.27
6256.81; 11413.73; 6789.12; 7464.21; 16616.23; 12148.17; 8136.99; 16056.13; 9058.13; 8875.28; 11460.41; 8663.84
4270.45; 9626.23; 7586.95; 10104.82; 10625.02; 8509.03; 7938.00; 7568.59; 6017.70; 7249.21; 2854.10; 2148.93
1958.84; 3280.36; 2450.05; 1590.21; 3058.56; 10863.66; 7578.81; 12590.03; 10552.36; 7871.68; 4845.41; 2727.65
5812.62; 3183.09; 6301.90; 2856.93; 1465.67; 2711.14; 2529.83; 1330.08; 2446.15; 2398.05; 4331.70; 3125.33
1191.06; 2739.74; 3274.73; 1610.37; 1242.23; 1916.25; 6186.15; 3856.45; 3847.64; 4207.63; 2762.21; 3097.72
8487.39; 19658.94; 13138.68; 5602.56; 5433.03; 9284.92; 16053.96; 6297.13; 5467.07; 9922.22; 6196.55; 8245.93
6313.31; 8710.72; 6248.88; 3300.60; 4231.37; 8191.67; 6341.46; 7925.25; 15919.89; 12944.02; 5422.16; 6991.13
4748.25; 7783.83; 6646.02; 6933.87; 11427.35; 6400.69; 7592.83; 16363.66; 5317.51; 6949.06; 7587.71; 2385.74
