-11;54542.8;5328.05;15967.6;6689.67
-10;65924.32;4563.75;14559.93;9526.91
-9;47447.91;4185.56;10546.41;11783.99
-8;48774.18;1722.08;13048.96;14322.97
-7;31323.33;2495.27;7836.14;17332.25
-6;25588.91;3701.07;4594.35;7460.04
-5;28055.08;11895.77;3703.97;3095.48
-4;24412.51;17835.55;2925.71;1757.12
-3;31828.84;28935.88;3005.14;1463.71
-2;36907.01;23920.15;4096.74;1808.89
-1;37533.39;13698.85;7847.06;3504.17
0;62141.53;11417.68;7808.31;5574.8
1;77311.23025371083;3453.312280663998;12758.297678803967;6250.776303265441
