(1,3156.01)
(2,5115.34)
(3,8411.63)
(4,10888.86)
(5,11962.99)
(6,11808.89)
(7,10357.36)
(8,8223.77)
(9,5606.85)
(10,3122.91)
(11,1347.61)
(12,800.51)
(13,2680.94)
(14,4893.01)
(15,6986.12)
(16,10687.52)
(17,11653.39)
(18,10939.44)
(19,9245.73)
(20,7427.39)
(21,5091.76)
(22,2618.18)
(23,1068.83)
(24,812.25)
(25,2349.33)
(26,4445.63)
(27,6836.34)
(28,10417.59)
(29,11553.35)
(30,10986.94)
(31,9014.52)
(32,6392.09)
(33,3420.25)
(34,1314.4)
(35,314.92)
(36,403.07)
(37,2422.24)
(38,4190.79)
(39,7028.34)
(40,10742.39)
(41,11878.41)
(42,11575.91)
(43,10358.65)
(44,7833.04)
(45,5049.37)
(46,2524.31)
(47,1240.01)
(48,907.65)
(49,3080.55)
(50,5878.2)
(51,6379.53)
(52,10447.89)
(53,11844.35)
(54,11560.88)
(55,10249.51)
(56,8150.06)
(57,5208.55)
(58,2536.37)
(59,792.09)
(60,537.7)
(61,2205.85)
(62,5229.69)
(63,7371.31)
(64,10944.94)
(65,11657.03)
(66,11288.72)
(67,9808.86)
(68,7124.7)
(69,4428.06)
(70,1966.96)
(71,697.61)
(72,632.14)
(73,2540.86)
(74,5023.02)
(75,5939.24)
(76,9983.84)
(77,11393.98)
(78,10787.52)
(79,9358.18)
(80,6736.38)
(81,3492.53)
(82,1289.66)
(83,332.82)
(84,459.03)
(85,2791.19)
(86,5249.09)
(87,7977.22)
(88,11270.84)
(89,12166.95)
(90,11823.82)
(91,10344.19)
(92,7216.42)
(93,4217.39)
(94,1817.47)
(95,505.67)
(96,518.25)
(97,2615.08)
(98,5245.61)
(99,7968.09)
(100,11027.06)
(101,11928.03)
(102,11433.16)
(103,9885.08)
(104,7523.19)
(105,4996.85)
(106,2637.39)
(107,934.74)
(108,657.34)
(109,2324.16)
(110,5283.85)
(111,7944.84)
(112,11353.26)
(113,12225.71)
(114,12007.99)
(115,10826.88)
(116,8729.39)
(117,6144.78)
(118,3208.08)
(119,887.69)
(120,809.03)
###################
(1,3156.01)
(2,1451.44)
(3,1674.31)
(4,4439.56)
(5,7132.65)
(6,7013.09)
(7,5457.85)
(8,3743.39)
(9,1770.26)
(10,0.0)
(11,0.0)
(12,0.0)
(13,0.0)
(14,0.0)
(15,0.0)
(16,4114.44)
(17,5764.41)
(18,3885.82)
(19,1716.31)
(20,496.62)
(21,0.0)
(22,0.0)
(23,0.0)
(24,0.0)
(25,0.0)
(26,0.0)
(27,0.0)
(28,4095.16)
(29,6056.08)
(30,4259.63)
(31,3350.95)
(32,2013.78)
(33,32.41)
(34,0.0)
(35,0.0)
(36,0.0)
(37,0.0)
(38,0.0)
(39,0.0)
(40,4193.96)
(41,6844.97)
(42,5952.57)
(43,4123.18)
(44,1681.0)
(45,0.0)
(46,0.0)
(47,0.0)
(48,0.0)
(49,0.0)
(50,0.0)
(51,0.0)
(52,4241.3)
(53,6977.58)
(54,5698.19)
(55,3442.25)
(56,610.68)
(57,0.0)
(58,0.0)
(59,0.0)
(60,0.0)
(61,0.0)
(62,0.0)
(63,0.0)
(64,4287.76)
(65,5242.67)
(66,4733.12)
(67,3616.99)
(68,1877.21)
(69,191.35)
(70,0.0)
(71,0.0)
(72,0.0)
(73,0.0)
(74,0.0)
(75,0.0)
(76,3371.44)
(77,5258.3)
(78,4345.43)
(79,3007.51)
(80,1498.13)
(81,0.0)
(82,0.0)
(83,0.0)
(84,0.0)
(85,0.0)
(86,0.0)
(87,0.0)
(88,5715.3)
(89,8408.32)
(90,7671.19)
(91,4535.7)
(92,2368.79)
(93,746.34)
(94,0.0)
(95,0.0)
(96,0.0)
(97,0.0)
(98,0.0)
(99,0.0)
(100,4525.7)
(101,7139.73)
(102,6260.97)
(103,4257.52)
(104,2585.53)
(105,717.46)
(106,0.0)
(107,0.0)
(108,0.0)
(109,0.0)
(110,0.0)
(111,0.0)
(112,6252.4)
(113,8791.88)
(114,8234.86)
(115,6353.06)
(116,4292.41)
(117,2156.02)
(118,280.06)
(119,0.0)
(120,0.0)
###################
(1,3156.01)
(2,9542.76)
(3,12744.9)
(4,12744.9)
(5,12744.9)
(6,12744.9)
(7,12744.9)
(8,11551.91)
(9,9285.35)
(10,7081.66)
(11,5382.76)
(12,4819.79)
(13,12176.05)
(14,12744.9)
(15,12744.9)
(16,12744.9)
(17,12744.9)
(18,12744.9)
(19,12744.9)
(20,11772.86)
(21,9867.23)
(22,7625.2)
(23,5150.48)
(24,5011.83)
(25,11759.21)
(26,12744.9)
(27,12744.9)
(28,12744.9)
(29,12744.9)
(30,12744.9)
(31,12729.86)
(32,11148.44)
(33,7737.31)
(34,4021.67)
(35,2231.21)
(36,2713.24)
(37,10831.9)
(38,12744.9)
(39,12744.9)
(40,12744.9)
(41,12744.9)
(42,12744.9)
(43,12744.9)
(44,11851.12)
(45,9834.57)
(46,7490.58)
(47,5601.42)
(48,5635.08)
(49,12744.9)
(50,12744.9)
(51,12744.9)
(52,12744.9)
(53,12744.9)
(54,12744.9)
(55,12744.9)
(56,11642.45)
(57,9515.5)
(58,6836.91)
(59,3866.51)
(60,3842.22)
(61,9708.61)
(62,12744.9)
(63,12744.9)
(64,12744.9)
(65,12744.9)
(66,12744.9)
(67,12744.9)
(68,11606.92)
(69,9443.28)
(70,6836.54)
(71,4385.71)
