(1,21113.17)
(2,29597.98)
(3,36860.49)
(4,39642.97)
(5,38398.65)
(6,34600.42)
(7,29838.57)
(8,24859.26)
(9,19389.35)
(10,14679.34)
(11,12264.24)
(12,13839.07)
(13,19891.83)
(14,26548.18)
(15,34431.73)
(16,37613.37)
(17,36958.34)
(18,33669.27)
(19,29852.98)
(20,25109.56)
(21,19971.82)
(22,15538.72)
(23,12414.55)
(24,13734.44)
(25,19715.08)
(26,25868.2)
(27,30904.49)
(28,33063.27)
(29,32113.88)
(30,29072.92)
(31,25195.74)
(32,20887.38)
(33,16380.69)
(34,11792.73)
(35,9500.97)
(36,11689.72)
(37,17853.59)
(38,24712.08)
(39,30422.91)
(40,33446.68)
(41,32587.94)
(42,29497.36)
(43,25439.06)
(44,20939.48)
(45,16009.91)
(46,11704.49)
(47,9460.71)
(48,11267.64)
(49,16660.38)
(50,22397.57)
(51,27774.88)
(52,30625.66)
(53,29972.27)
(54,27265.15)
(55,23357.62)
(56,19063.16)
(57,14554.01)
(58,10613.75)
(59,8608.96)
(60,11160.6)
(61,17303.5)
(62,23346.45)
(63,29502.72)
(64,33062.87)
(65,32687.19)
(66,29829.74)
(67,25821.88)
(68,21292.83)
(69,16728.37)
(70,12334.64)
(71,10084.39)
(72,12181.81)
(73,18278.53)
(74,24850.06)
(75,30853.35)
(76,33877.08)
(77,33202.77)
(78,30056.81)
(79,25892.97)
(80,21327.34)
(81,16392.93)
(82,12072.17)
(83,9906.36)
(84,12921.12)
(85,18709.45)
(86,25159.97)
(87,31174.4)
(88,33671.24)
(89,32466.65)
(90,29157.43)
(91,24940.55)
(92,20334.05)
(93,15564.5)
(94,10944.95)
(95,8645.25)
(96,10415.02)
(97,15659.25)
(98,22739.81)
(99,29160.28)
(100,32347.21)
(101,31731.82)
(102,28662.2)
(103,24482.53)
(104,19904.0)
(105,15006.05)
(106,10530.57)
(107,8305.68)
(108,10229.7)
(109,16297.14)
(110,24230.37)
(111,31047.61)
(112,34392.61)
(113,34013.79)
(114,30793.19)
(115,26455.31)
(116,21425.94)
(117,16093.84)
(118,11126.25)
(119,7162.16)
(120,7998.11)
###################
(1,21113.17)
(2,20897.53)
(3,22250.4)
(4,21058.66)
(5,18132.06)
(6,13140.76)
(7,7802.3)
(8,4022.73)
(9,0.0)
(10,0.0)
(11,0.0)
(12,0.0)
(13,582.61)
(14,3460.28)
(15,8517.88)
(16,9681.4)
(17,9640.88)
(18,7106.91)
(19,5066.46)
(20,2101.54)
(21,0.0)
(22,0.0)
(23,0.0)
(24,0.0)
(25,2008.58)
(26,4556.87)
(27,6600.03)
(28,6788.27)
(29,6536.84)
(30,5174.69)
(31,2980.28)
(32,1520.37)
(33,0.0)
(34,0.0)
(35,0.0)
(36,0.0)
(37,1101.55)
(38,3530.27)
(39,5205.61)
(40,6377.68)
(41,6179.6)
(42,4555.52)
(43,3212.59)
(44,1376.81)
(45,84.96)
(46,0.0)
(47,0.0)
(48,0.0)
(49,0.0)
(50,787.43)
(51,1736.67)
(52,2758.05)
(53,2633.49)
(54,2224.74)
(55,1111.47)
(56,0.0)
(57,0.0)
(58,0.0)
(59,0.0)
(60,0.0)
(61,776.52)
(62,2230.86)
(63,4759.5)
(64,6995.71)
(65,6484.55)
(66,4789.55)
(67,3053.28)
(68,1139.95)
(69,0.0)
(70,0.0)
(71,0.0)
(72,0.0)
(73,1160.44)
(74,3279.1)
(75,5741.56)
(76,7390.67)
(77,6913.91)
(78,5050.29)
(79,2947.26)
(80,534.83)
(81,0.0)
(82,0.0)
(83,0.0)
(84,0.0)
(85,1477.24)
(86,3803.89)
(87,5909.37)
(88,7046.55)
(89,6770.57)
(90,6163.02)
(91,3712.74)
(92,1593.92)
(93,0.0)
(94,0.0)
(95,0.0)
(96,0.0)
(97,75.06)
(98,2163.42)
(99,4214.77)
(100,6777.35)
(101,7158.94)
(102,5854.5)
(103,3780.33)
(104,2217.63)
(105,212.34)
(106,0.0)
(107,0.0)
(108,0.0)
(109,1731.26)
(110,6358.41)
(111,10402.65)
(112,13145.54)
(113,13099.85)
(114,11183.95)
(115,8404.42)
(116,5093.81)
(117,2028.88)
(118,0.0)
(119,0.0)
(120,0.0)
###################
(1,21113.17)
(2,41445.59)
(3,51806.1)
(4,51806.1)
(5,51806.1)
(6,50864.7)
(7,47613.58)
(8,43490.76)
(9,38480.57)
(10,33763.2)
(11,31934.92)
(12,35949.74)
(13,46345.0)
(14,51806.1)
(15,51806.1)
(16,51806.1)
(17,51806.1)
(18,51003.98)
(19,48221.22)
(20,43588.44)
(21,38326.75)
(22,33161.62)
(23,30885.74)
(24,36461.89)
(25,47100.77)
(26,51806.1)
(27,51806.1)
(28,51806.1)
(29,51806.1)
(30,50147.59)
(31,46377.82)
(32,41807.84)
(33,36935.47)
(34,31836.79)
(35,29801.76)
(36,33640.67)
(37,41342.46)
(38,51806.1)
(39,51806.1)
(40,51806.1)
(41,51806.1)
(42,50446.86)
(43,46944.96)
(44,42573.8)
(45,37271.75)
(46,32415.64)
(47,30862.35)
(48,35301.43)
(49,44087.1)
(50,51465.84)
(51,51806.1)
(52,51806.1)
(53,51806.1)
(54,49789.99)
(55,45956.03)
(56,41323.79)
(57,36164.51)
(58,31125.26)
(59,29039.03)
(60,32698.18)
(61,39891.92)
(62,47969.06)
(63,51806.1)
(64,51806.1)
(65,51806.1)
(66,49928.05)
(67,46051.98)
(68,41166.49)
(69,36047.01)
(70,31072.39)
(71,30296.98)
(72,35932.63)
(73,45564.34)
(74,51806.1)
(75,51806.1)
(76,51806.1)
(77,51806.1)
(78,50793.77)
(79,47277.92)
(80,43073.84)
(81,37990.77)
(82,33686.26)
(83,32071.04)
(84,39093.36)
(85,48195.35)
(86,51806.1)
(87,51806.1)
(88,51806.1)
(89,51806.1)
(90,49713.15)
(91,45788.59)
(92,41162.24)
(93,35708.55)
(94,30973.77)
(95,28544.2)
(96,32784.3)
(97,41433.56)
(98,51806.1)
(99,51806.1)
(100,51806.1)
(101,51806.1)
(102,49691.17)
(103,45904.52)
(104,41339.53)
(105,35844.2)
(106,31015.74)
(107,28674.83)
(108,33557.67)
(109,41539.8)
(110,51806.1)
(111,51806.1)
(112,51806.1)
(113,51806.1)
(114,50429.59)
(115,46979.18)
(116,42542.61)
(117,37443.85)
(118,32866.6)
(119,29461.61)
(120,33058.83)
###################
