(1,19656.2,54868.8,0.0,0.0,7893.29,0.0)
(2,19291.41,56499.59,0.0,0.0,8832.11,33.25)
(3,19352.26,57019.74,35.04,40047.98,9449.12,2261.25)
(4,19340.32,55711.68,117.57,134355.95,9702.05,3452.94)
(5,19231.19,54569.81,142.11,162405.2,9309.26,1527.08)
(6,19378.97,53931.03,176.89,202366.39,9110.24,509.56)
(7,19340.83,53975.17,168.78,199557.3,9874.5,688.8)
(8,19405.37,54938.63,185.78,249559.36,10278.77,647.34)
(9,19485.99,55285.01,258.65,362950.36,10332.23,1000.56)
(10,19500.47,55814.53,329.3,638326.58,11021.03,1174.11)
(11,19443.64,55622.36,498.18,1.25706273e6,11048.93,461.59)
(12,18930.51,55215.49,249.11,424426.78,10262.09,200.18)
(13,18626.78,55898.22,289.92,333227.19,10664.2,257.73)
(14,18472.79,57318.21,363.91,420711.61,10380.21,2374.65)
(15,18462.6,57909.4,380.55,460054.88,9867.97,5920.47)
(16,18580.67,56471.33,413.49,539773.0,10018.92,5154.26)
(17,18990.7,54810.3,521.2,704923.55,9578.72,2114.16)
(18,19230.91,54079.09,523.36,744392.86,9328.46,588.62)
(19,19445.17,53870.83,568.16,972222.04,10222.29,643.27)
(20,19541.72,54802.28,678.48,1.42410317e6,10418.84,742.4)
(21,19829.82,54941.18,878.31,2.20748568e6,10594.95,1028.49)
(22,19968.53,55346.47,1015.01,2.62485896e6,11228.95,1315.17)
(23,19978.23,55087.77,1190.42,3.19222187e6,11044.18,451.5)
(24,18976.12,55169.88,499.57,874080.29,9640.09,193.7)
(25,18551.24,55973.76,429.32,496753.16,9970.85,331.41)
(26,18483.86,57307.14,516.1,644485.97,10195.16,3069.67)
(27,18664.29,57707.71,574.01,790693.77,10067.03,6709.48)
(28,18796.67,56255.33,617.83,895966.24,10226.23,5015.89)
(29,19176.24,54624.76,557.98,809416.33,10046.32,2269.44)
(30,19380.59,53929.41,567.03,950132.52,9978.26,489.38)
(31,19452.82,53863.18,655.53,1.17340966e6,10667.49,701.41)
(32,19645.22,54698.78,758.68,1.63260884e6,10576.23,645.52)
(33,19768.35,55002.65,854.99,2.08035387e6,10573.12,827.28)
(34,19865.73,55449.27,1018.6,2.86059689e6,11687.07,998.92)
(35,19840.96,55225.04,1069.98,3.06698934e6,10863.18,395.99)
(36,18832.71,55313.29,428.98,753529.15,9924.47,217.86)
(37,18517.11,56007.89,376.14,433851.91,10650.18,299.23)
(38,18378.49,57412.51,471.18,585964.89,10585.83,3010.83)
(39,18492.22,57879.78,495.48,666925.83,10123.75,6438.59)
(40,18627.21,56424.79,530.39,742835.15,10058.77,4828.06)
(41,18927.79,54873.21,537.71,821300.82,10067.08,2317.77)
(42,19271.29,54038.71,569.58,897547.1,9819.68,580.95)
(43,19366.95,53949.05,636.61,1.09539109e6,10467.8,696.05)
(44,19539.98,54804.02,739.51,1.51230065e6,10661.1,581.08)
(45,19665.14,55105.86,845.72,2.08957285e6,10468.8,968.43)
(46,19644.43,55670.57,916.46,2.55769472e6,10990.84,1358.28)
(47,19641.95,55424.05,956.19,2.7163016e6,10438.01,548.67)
(48,18867.66,55278.34,422.46,834712.26,9895.91,302.86)
(49,18451.94,56073.06,324.74,373720.94,10598.17,306.13)
(50,18353.37,57437.63,383.88,487749.96,10289.5,3100.27)
(51,18488.04,57883.96,427.81,566136.34,9764.33,6671.31)
(52,18592.75,56459.25,470.62,650561.16,9929.93,5042.55)
(53,18930.92,54870.08,464.19,718783.7,9513.08,2329.24)
(54,19199.15,54110.85,479.15,789065.88,9482.33,616.38)
(55,19413.5,53902.5,543.12,991071.14,10693.8,812.58)
(56,19471.72,54872.28,605.18,1.16002665e6,10872.18,780.75)
(57,19557.37,55213.63,696.24,1.56886119e6,11107.74,1173.07)
(58,19629.72,55685.28,782.91,2.05775412e6,11081.62,1277.42)
(59,19704.41,55361.59,953.32,2.65626109e6,10818.88,461.78)
(60,18944.43,55201.57,453.6,800066.28,9957.72,196.54)
(61,18606.51,55918.49,392.93,453650.5,10611.76,369.75)
(62,18254.81,57536.19,437.18,546571.69,10706.9,3720.63)
(63,18419.1,57952.9,477.76,629136.32,10140.3,6328.3)
(64,18690.39,56361.61,487.53,704916.2,10359.16,4862.77)
(65,19002.92,54798.08,507.85,765059.4,9964.5,2348.87)
(66,19330.85,53979.15,542.8,805462.14,9800.02,635.23)
(67,19427.15,53888.85,601.17,1.05579336e6,10729.54,762.12)
(68,19500.56,54843.44,699.43,1.44490779e6,10903.44,710.66)
(69,19492.74,55278.26,781.96,1.91572861e6,11058.83,1013.31)
(70,19491.51,55823.49,859.86,2.40580885e6,11333.07,1228.71)
(71,19450.99,55615.01,934.6,2.60938008e6,10790.59,551.1)
(72,18739.15,55406.85,416.19,680963.8,9724.75,197.32)
(73,18479.71,56045.29,408.48,468002.7,10521.56,259.02)
(74,18366.08,57424.92,434.45,561223.27,10197.19,2659.6)
(75,18414.65,57957.35,491.3,675458.78,9794.62,5999.36)
(76,18593.07,56458.93,509.9,713951.67,9913.66,5461.19)
(77,18968.18,54832.82,504.44,790126.51,10068.57,2359.86)
(78,19209.46,54100.54,541.19,898575.83,10040.89,560.34)
(79,19392.24,53923.76,616.07,1.108711e6,10786.28,537.42)
(80,19522.5,54821.5,720.93,1.60547302e6,10803.34,580.31)
(81,19598.22,55172.78,841.81,2.04816929e6,10828.35,909.83)
(82,19566.07,55748.93,946.64,2.4498855e6,11388.91,1094.43)
(83,19657.67,55408.33,1142.08,3.20357948e6,10466.47,407.15)
(84,18856.47,55289.53,525.0,933999.65,9618.21,186.09)
(85,18361.12,56163.88,394.45,480635.01,10143.94,268.05)
(86,18233.82,57557.18,456.03,616037.63,9954.25,2612.36)
(87,18328.7,58043.3,569.07,799259.61,9679.46,6490.77)
(88,18362.71,56689.29,532.99,759875.83,9658.99,5366.05)
(89,18647.47,55153.53,546.47,818561.01,9598.23,2379.22)
(90,18857.05,54452.95,572.74,1.00644867e6,9396.9,574.84)
(91,18957.71,54358.29,631.85,1.14711307e6,10406.48,870.67)
(92,19018.88,55325.12,716.12,1.49425144e6,10529.84,787.53)
(93,19081.55,55689.45,763.74,1.81841478e6,10599.0,1022.14)
(94,19058.59,56256.41,860.77,2.3007499e6,10911.05,1263.81)
(95,18972.45,56093.55,892.13,2.53387877e6,10289.75,464.31)
(96,18198.14,55947.86,475.22,904686.63,9527.2,215.61)
(97,17791.83,56733.17,363.38,433675.97,10000.69,332.35)
(98,17596.75,58194.25,439.82,590659.93,9678.31,2526.7)
(99,17556.84,58815.16,455.6,648047.65,9286.66,5863.44)
(100,17571.59,57480.41,510.28,738921.32,9424.46,5380.23)
(101,17599.28,56201.72,511.42,775806.14,9362.2,2336.53)
(102,17698.29,55611.71,571.78,932738.68,9604.19,640.28)
(103,17759.23,55556.77,618.34,1.14413338e6,10549.09,763.27)
(104,17792.22,56551.78,686.34,1.52255721e6,10506.65,762.54)
(105,17816.0,56955.0,733.87,1.80433493e6,10409.49,790.73)
(106,17824.43,57490.57,823.0,2.29846221e6,10187.08,1148.24)
(107,17593.06,57472.94,843.55,2.3995264e6,10040.3,355.29)
(108,16700.97,57445.03,433.18,787415.59,8910.32,206.81)
(109,16165.92,58359.08,402.86,481783.88,9468.93,147.17)
(110,15441.88,60349.12,500.43,677625.59,9548.85,1962.74)
(111,15059.39,61312.61,579.98,779937.61,8872.94,5004.96)
(112,14964.28,60087.72,624.93,886444.99,9351.46,4471.05)
(113,14669.33,59131.67,621.25,932878.28,9477.09,2223.85)
(114,14453.91,58856.09,641.4,1.0365351e6,9355.36,593.47)
(115,14316.84,58999.16,708.71,1.20284233e6,10058.65,733.7)
(116,14145.16,60198.84,781.74,1.49640662e6,9834.42,712.18)
(117,13886.28,60884.72,875.92,1.9039256e6,9868.87,997.51)
(118,13417.01,61897.99,1071.74,2.85419821e6,9028.79,1553.78)
(119,12778.83,62287.17,1214.44,3.4864888e6,7833.42,4191.06)
(120,10348.07,63797.93,605.83,1.4622732e6,5843.57,1840.43)
###################
(1,19656.2,54868.8,0.0,0.0,7893.29,0.0)
(2,18297.7,54995.3,0.0,0.0,6297.39,0.0)
(3,18297.7,54928.5,0.0,0.0,6917.46,0.0)
(4,18239.02,53228.0,0.0,0.0,6807.7,0.0)
(5,16423.7,52013.0,0.0,0.0,5442.73,0.0)
(6,16005.7,50221.47,0.0,0.0,5380.2,0.0)
(7,16005.7,50674.52,0.0,0.0,6693.95,0.0)
(8,15747.7,51986.6,0.0,0.0,6657.51,0.0)
(9,16005.7,51350.42,0.0,0.0,6638.7,0.0)
(10,15424.7,52396.9,0.0,0.0,6710.33,0.0)
(11,13177.7,51679.56,0.0,0.0,5692.43,0.0)
(12,10945.16,50700.28,0.0,0.0,5383.18,0.0)
(13,9699.46,48964.75,0.0,0.0,6449.84,0.0)
(14,7856.46,50167.45,0.0,0.0,6811.16,0.0)
(15,8782.46,50719.4,0.0,0.0,6673.76,0.0)
(16,10401.38,49465.4,0.0,0.0,6369.21,0.0)
(17,13105.58,48276.95,0.0,0.0,5073.97,0.0)
(18,14501.7,47810.5,0.0,0.0,5286.24,0.0)
(19,14501.7,47816.2,0.0,0.0,6851.45,0.0)
(20,13177.7,47777.0,0.0,0.0,6606.9,0.0)
(21,13177.7,46527.4,0.0,0.0,5960.82,0.0)
(22,13177.7,46716.86,0.0,0.0,6129.45,0.0)
(23,11778.63,46274.58,0.0,0.0,5779.06,0.0)
(24,10759.16,48604.7,0.0,0.0,4863.23,0.0)
(25,9650.46,48964.75,0.0,0.0,6028.97,0.0)
(26,9265.73,50167.45,0.0,0.0,6664.7,0.0)
(27,9313.46,50719.4,0.0,0.0,6703.3,0.0)
(28,9699.46,49465.4,0.0,0.0,6575.0,0.0)
(29,13177.7,48276.95,0.0,0.0,5422.52,0.0)
(30,13779.75,47810.5,0.0,0.0,5517.15,0.0)
(31,14501.7,46097.82,0.0,0.0,6577.65,0.0)
(32,13578.7,46112.8,0.0,0.0,6644.5,0.0)
(33,13373.17,46502.8,0.0,0.0,5807.42,0.0)
(34,13177.7,45949.5,0.0,0.0,6619.84,0.0)
(35,11974.36,45995.15,0.0,0.0,5196.97,0.0)
(36,10759.16,48604.7,0.0,0.0,4892.65,0.0)
(37,9699.36,48964.75,0.0,0.0,6273.64,0.0)
(38,8947.9,50167.45,0.0,0.0,6683.01,0.0)
(39,9240.46,50719.4,0.0,0.0,6680.39,0.0)
(40,9699.46,49465.4,0.0,0.0,6328.56,0.0)
(41,13177.04,48276.95,0.0,0.0,5625.77,0.0)
(42,14501.7,47810.5,0.0,0.0,5321.09,0.0)
(43,14501.7,47236.83,0.0,0.0,6742.59,0.0)
(44,14501.7,46252.7,0.0,0.0,6760.27,0.0)
(45,14501.7,47563.94,0.0,0.0,6646.45,0.0)
(46,13177.7,46973.23,0.0,0.0,6145.66,0.0)
(47,13152.77,47122.24,0.0,0.0,5072.0,0.0)
(48,10757.91,48604.7,0.0,0.0,4987.98,0.0)
(49,9571.46,48964.75,0.0,0.0,6509.49,0.0)
(50,9240.46,50167.45,0.0,0.0,7022.84,0.0)
(51,10150.95,50719.4,0.0,0.0,6551.66,0.0)
